Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
Core Courses,COR1-GB.2310,Marketing (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Steckel,J",,21714,,,,,,,,,M,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2310,Marketing (3),11,W 6:00 pm - 9:00 pm,09/23-12/16,"Carr,J",,21715,,,,,,,,,W,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2311,Foundations of Finance (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Segram,H",,21773,,,,,,,,,T,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2311,Foundations of Finance (3),11,R 6:00 pm - 9:00 pm,09/24-12/17,"Segram,H",,21774,,,,,,,,,R,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2314,Operations Management (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Jagabathula,S",,21822,,,,,,,,,T,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2314,Operations Management (3),91,M 6:00 pm - 9:00 pm,09/21-12/14,"Mohebbi,C",Westchester,21820,,,,,,,,,M,6:00 pm - 9:00 pm,3
Core Courses,COR1-GB.2314,Operations Management (3),S1,Sa 9:00 am - 12:00 pm,09/26-12/19,"Riccio,L",Saturdays,21821,,,,,,,,,Sa,9:00 am - 12:00 pm,3
Economics,ECON-GB.2110,Health and Medical Care Business (1.5),10,M 6:00 pm - 9:00 pm,11/09-12/14,"Andrzejewski,S",,21642,Economics,Healthcare,Strategy,Sustainable Business and Innovation,,,,,M,6:00 pm - 9:00 pm,1.5
Economics,ECON-GB.2113,Value-driven Health Care (1.5),10,M 6:00 pm - 9:00 pm,09/21-11/02,"Desai,S",,21659,Economics,Healthcare,,,,,,,M,6:00 pm - 9:00 pm,1.5
Economics,ECON-GB.2156,Beyond Behavioural Economics (1.5),01,MW 8:50 am - 10:20 am,09/30-11/09,"King,M",Cross-listed with the Law School,21807,Economics,,,,,,,,MW,8:50 am - 10:20 am,1.5
Economics,ECON-GB.2317,The Making of Economic Policy in the White House (3),10,W 6:00 pm - 9:00 pm,09/23-12/16,"Bowmaker,S",,23305,Economics,,,,,,,,W,6:00 pm - 9:00 pm,3
Economics,ECON-GB.2345,"The Business of Platforms, Networks, and Two-Sided Markets (3)",10,T 6:00 pm - 9:00 pm,09/22-12/08,"Economides,N",,21643,Economics,"Entertainment, Media & Technology",Law & Business,Product Management,Strategy,,,,T,6:00 pm - 9:00 pm,3
Economics,ECON-GB.2346,Growth in the Developing World and the Global Economy (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Henry,P",,21645,Economics,Global Business,Sustainable Business and Innovation,,,,,,T,6:00 pm - 9:00 pm,3
Economics,ECON-GB.2362,Economics of Creativity and Innovation (3),10,R 6:00 pm - 9:00 pm,09/24-12/17,"Moser,P",,21976,Economics,,,,,,,,R,6:00 pm - 9:00 pm,3
Economics,ECON-GB.2380,"International Macroeconomics- Policy, Theory & Evidence (3)",10,,09/23-12/16,,,21644,Economics,Global Business,,,,,,,N/A,,3
Economics,ECON-GB.3145,Money and Modern Capitalism: Law and Business (1.5),10,M 6:10 pm - 9:10 pm,10/05-11/09,"King,M",Cross-listed with the Law School,21852,Economics,Financial Instruments & Markets,Global Business,Law & Business,,,,,M,6:10 pm - 9:10 pm,1.5
Finance,FINC-GB.2302,Corporate Finance (3),01,TR 3:00 pm - 4:20 pm,09/03-12/03,"Schmeits,A",,21777,Corporate Finance,Finance,Quantitative Finance,,,,,,TR,3:00 pm - 4:20 pm,3
Finance,FINC-GB.2302,Corporate Finance (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Schnabl,P",,21778,Corporate Finance,Finance,Quantitative Finance,,,,,,M,6:00 pm - 9:00 pm,3
Finance,FINC-GB.2302,Corporate Finance (3),S1,Sa 9:00 am - 12:00 pm,09/26-12/19,"Schmeits,A",Saturdays,21780,Corporate Finance,Finance,Quantitative Finance,,,,,,Sa,9:00 am - 12:00 pm,3
Finance,FINC-GB.2304,Restructuring Firms and Industries (3),01,MW 1:30 pm - 2:50 pm,09/02-12/09,"Yermack,D",Cross-listed with the Law School,21796,Corporate Finance,Finance,Law & Business,Quantitative Finance,Strategy,,,,MW,1:30 pm - 2:50 pm,3
Finance,FINC-GB.2334,Financial Service Industry (3),01,TR 1:30 pm - 2:50 pm,09/03-12/03,"Finch,J",,21781,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Quantitative Finance,,,,TR,1:30 pm - 2:50 pm,3
Finance,FINC-GB.2339,Real Estate Capital Markets (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Gupta,A",,21782,Banking,Finance,Financial Instruments & Markets,Quantitative Finance,Real Estate,,,,M,6:00 pm - 9:00 pm,3
Finance,FINC-GB.2360,Sustainable Capitalism: A Longer Term Finance Perspective (3),10,W 6:00 pm - 9:00 pm,09/23-12/16,,,22188,Finance,Sustainable Business and Innovation,,,,,,,W,6:00 pm - 9:00 pm,3
Finance,FINC-GB.2375,"Managing Climate, Cyber, Geopolitical, and Financial Risk (3)",01,MW 11:00 am - 12:15 pm,09/02-12/13,"Berner,R",Cross-listed with undergraduate school,22474,FinTech,Finance,Sustainable Business and Innovation,,,,,,MW,11:00 am - 12:15 pm,3
Finance,FINC-GB.3125,Corporate Strategy and Finance in Entertainment and Media (1.5),10,M 6:00 pm - 9:00 pm,09/21-11/02,"Smith,T",,21783,Corporate Finance,"Entertainment, Media & Technology",Finance,Quantitative Finance,Strategy,,,,M,6:00 pm - 9:00 pm,1.5
Finance,FINC-GB.3126,"Financial Analysis in Telecom, Media & Technology (1.5)",10,M 6:00 pm - 9:00 pm,11/09-12/14,"Cha,T",,21784,Corporate Finance,"Entertainment, Media & Technology",Finance,Quantitative Finance,,,,,M,6:00 pm - 9:00 pm,1.5
Finance,FINC-GB.3147,A Financial Approach to Climate Change (1.5),10,T 6:00 pm - 9:00 pm,09/22-10/27,"Engle,R",,21799,Economics,Finance,Quantitative Finance,Sustainable Business and Innovation,,,,,T,6:00 pm - 9:00 pm,1.5
Finance,FINC-GB.3180,Topics in Cryptocurrency Investing (1.5),10,,09/22-10/27,,,21800,FinTech,Finance,Financial Instruments & Markets,Quantitative Finance,,,,,N/A,,1.5
Finance,FINC-GB.3181,Arbitrage Trading Strategies (1.5),10,,11/03-12/08,,,22037,Finance,Financial Instruments & Markets,Quantitative Finance,,,,,,N/A,,1.5
Finance,FINC-GB.3182,Global Value Investing (1.5),10,R 6:00 pm - 9:00 pm,09/24-10/29,"Rosenwald,J",,21785,Finance,Financial Instruments & Markets,Global Business,Quantitative Finance,,,,,R,6:00 pm - 9:00 pm,1.5
